id,name,city,region,location,source
2560,بیلبورد محور رشت - رامسر,رشت,محور رشت - رامسر، خروجی لنگرود، دید به مازندران,محور رشت - رامسر، خروجی لنگرود، دید به مازندران,billboardiha
1189,بیلبورد منظریه,رشت,منظریه، جنب هتل کادوس,منظریه، جنب هتل کادوس,billboardiha
3600,بیلبورد میدان شهرداری,رشت,میدان شهرداری جنب بازار بزرگ ( خروجی شهرداری),میدان شهرداری جنب بازار بزرگ ( خروجی شهرداری),billboardiha
3601,بیلبورد میدان شهرداری,رشت,میدان شهرداری جنب بازار بزرگ ( ورودی شهرداری),میدان شهرداری جنب بازار بزرگ ( ورودی شهرداری),billboardiha
1188,بیلبورد میدان قلی پور,رشت,میدان قلی پور، به سمت صابرین,میدان قلی پور، به سمت صابرین,billboardiha
3614,بیلبورد میدان گاز,رشت,میدان گاز . ابتدای بلوار منظریه,میدان گاز . ابتدای بلوار منظریه,billboardiha
2567,بیلبورد پلیس راه رشت - انزلی,رشت,پلیس راه رشت - انزلی,پلیس راه رشت - انزلی,billboardiha
2568,بیلبورد پلیس راه رشت - انزلی,رشت,پلیس راه رشت - انزلی,پلیس راه رشت - انزلی,billboardiha
2554,پلیس راه رشت - تالش,رشت,پلیس راه رشت - تالش، دید به تالش,پلیس راه رشت - تالش، دید به تالش,billboardiha
2553,بیلبورد پلیس راه رشت - تالش,رشت,پلیس راه رشت - تالش، دید به رشت,پلیس راه رشت - تالش، دید به رشت,billboardiha
2556,بیلبورد پلیس راه رشت - فومن,رشت,پلیس راه رشت - فومن، دید به سمت فومن,پلیس راه رشت - فومن، دید به سمت فومن,billboardiha
2569,بیلبورد پلیس راه رشت - قزوین,رشت,پلیس راه رشت - قزوین، دید به سمت رشت,پلیس راه رشت - قزوین، دید به سمت رشت,billboardiha
2563,بیلبورد پلیس راه رشت - لاهیجان,رشت,پلیس راه رشت - لاهیجان، شهر لولمان، دید به لاهیجان,پلیس راه رشت - لاهیجان، شهر لولمان، دید به لاهیجان,billboardiha
1191,بیلبورد چهارراه گلسار,رشت,چهارراه گلسار، جنب داروخانه گلسار,چهارراه گلسار، جنب داروخانه گلسار,billboardiha
1192,بیلبورد چهارراه گلسار,رشت,چهارراه گلسار، خروجی گلسار، ابتدای بلوار انصاری,چهارراه گلسار، خروجی گلسار، ابتدای بلوار انصاری,billboardiha
3598,بیلبورد بلوار گیلان,رشت,گلسار . بلوار گیلان . ابتدای خیابان 179,گلسار . بلوار گیلان . ابتدای خیابان 179,billboardiha
3634,بیلبورد گلسار,رشت,گلسار . بلوار گیلان . میدان تربیت معلم,گلسار . بلوار گیلان . میدان تربیت معلم,billboardiha
3636,بیلبورد گلسار,رشت,گلسار . مسیر اصلی . جنب بانک ملت (خروجی گلسار),گلسار . مسیر اصلی . جنب بانک ملت (خروجی گلسار),billboardiha
3616,بیلبورد گلسار,رشت,گلسار . میدان توحید . جنب پارک,گلسار . میدان توحید . جنب پارک,billboardiha
3638,بیلبورد گلسار,رشت,گلسار . میدان صابرین,گلسار . میدان صابرین,billboardiha
3617,بیلبورد ورودی گلسار,رشت,گلسار ، میدان صابرین ، ورودی گلسار,گلسار ، میدان صابرین ، ورودی گلسار,billboardiha
3637,بیلبورد گلسار,رشت,گلسار مسیر اصلی جنب بانک ملت (ورودی گلسار),گلسار مسیر اصلی جنب بانک ملت (ورودی گلسار),billboardiha
3208,بیلبورد گلسار,رشت,گلسار، بلوار گیلان، میدان تربیت معلم,گلسار، بلوار گیلان، میدان تربیت معلم,billboardiha
3210,بیلبورد گلسار,رشت,گلسار، مسیر اصلی، جنب بانک ملت (خروجی گلسار),گلسار، مسیر اصلی، جنب بانک ملت (خروجی گلسار),billboardiha
3209,بیلبورد گلسار,رشت,گلسار، میدان توحید,گلسار، میدان توحید,billboardiha
3635,بیلبورد گلسار,رشت,گلسار، میدان توحید,گلسار، میدان توحید,billboardiha
1730,بیلبورد بزرگراه خلیج فارس,زاهدان,بزرگراه خلیج فارس,بزرگراه خلیج فارس,billboardiha
1754,بیلبورد بلوار دانشگاه,زاهدان,بلوار دانشگاه، روبروی بلوار معلم (تابلو سمت چپ),بلوار دانشگاه، روبروی بلوار معلم (تابلو سمت چپ),billboardiha
1745,بیلبورد بلوار مطهری,زاهدان,بیلبورد بلوار مطهری,بیلبورد بلوار مطهری,billboardiha
1738,بیلبورد تقاطع آزادی و مصطفی خمینی,زاهدان,تقاطع آزادی و مصطفی خمینی,تقاطع آزادی و مصطفی خمینی,billboardiha
1740,بیلبورد تقاطع بزرگمهر و معلم,زاهدان,تقاطع بزرگمهر و معلم، ضلع جنوب غربی,تقاطع بزرگمهر و معلم، ضلع جنوب غربی,billboardiha
1735,بیلبورد تقاطع بهشتی و مصطفی خمینی,زاهدان,تقاطع بهشتی و مصطفی خمینی,تقاطع بهشتی و مصطفی خمینی,billboardiha
1744,بیلبورد بلوار مطهری,زاهدان,رفیوژ میانی بلوار مطهری (مسیر رفت),رفیوژ میانی بلوار مطهری (مسیر رفت),billboardiha
1751,بیلبورد معلم و دانشگاه,زاهدان,معلم و دانشگاه، رفیوژ میانی، دید از خیابان دانشگاه,معلم و دانشگاه، رفیوژ میانی، دید از خیابان دانشگاه,billboardiha
1750,بیلبورد معلم و دانشگاه,زاهدان,معلم و دانشگاه، رفیوژ میانی، دید از میدان امام علی,معلم و دانشگاه، رفیوژ میانی، دید از میدان امام علی,billboardiha
1739,بیلبورد دیواری میدان امام علی,زاهدان,میدان امام علی,میدان امام علی,billboardiha
1734,بیلبورد میدان خیام,زاهدان,میدان خیام,میدان خیام,billboardiha
1733,بیلبورد میدان شهدا,زاهدان,میدان شهدا,میدان شهدا,billboardiha
1753,بیلبورد میدان پاسداران,زاهدان,میدان پاسداران,میدان پاسداران,billboardiha
1749,بیلبورد میدان پاسداران,زاهدان,میدان پاسداران، رفیوژ میانی، دید از خیابان دانشگاه,میدان پاسداران، رفیوژ میانی، دید از خیابان دانشگاه,billboardiha
1748,بیلبورد میدان پاسداران,زاهدان,میدان پاسداران، رفیوژ میانی، دید از میدان امام علی,میدان پاسداران، رفیوژ میانی، دید از میدان امام علی,billboardiha
1743,بیلبورد پاسداران,زاهدان,پاسداران، ورودی از دانشگاه به پاسداران,پاسداران، ورودی از دانشگاه به پاسداران,billboardiha
1742,بیلبورد پاسداران,زاهدان,پاسداران، ورودی به دانشگاه,پاسداران، ورودی به دانشگاه,billboardiha
3531,بیلبورد بلوار22 بهمن,زنجان,بلوار22 بهمن، تقاطع تربیت (جاده شهرک) - ضلع شمال شرقی,بلوار22 بهمن، تقاطع تربیت (جاده شهرک) - ضلع شمال شرقی,billboardiha
3533,بیلبورد بلوار22 بهمن,زنجان,بلوار22 بهمن، تقاطع تربیت (پشت مصلی) - ضلع جنوب شرقی,بلوار22 بهمن، تقاطع تربیت (پشت مصلی) - ضلع جنوب شرقی,billboardiha
3524,بیلبورد تری ویژن,زنجان,تری ویژن - میدان ازادی - ضلع شمالی (سه وجهی) هر 3 وجه,تری ویژن - میدان ازادی - ضلع شمالی (سه وجهی) هر 3 وجه,billboardiha
3530,بیلبورد جاده گاوازنگ,زنجان,جاده گاوازنگ، م کوهنورد (آزادگان)، مسیر ائل داغی و امند، نمایشگاه کاسپین,جاده گاوازنگ، م کوهنورد (آزادگان)، مسیر ائل داغی و امند، نمایشگاه کاسپین,billboardiha
3540,بیلبورد خیابان خرمشهر,زنجان,خیابان خرمشهر، تقاطع شیلات (به طرف ترمینال) - وسط - ضلع جنوبی,خیابان خرمشهر، تقاطع شیلات (به طرف ترمینال) - وسط - ضلع جنوبی,billboardiha
3541,بیلبورد خیابان خرمشهر,زنجان,خیابان خرمشهر، تقاطع شیلات (به طرف ترمینال) -ضلع جنوب غربی,خیابان خرمشهر، تقاطع شیلات (به طرف ترمینال) -ضلع جنوب غربی,billboardiha
3542,بیلبورد  خیابان خرمشهر,زنجان,خیابان خرمشهر، تقاطع شیلات )به طرف م پروین اعتصامی) - ضلع شمال شرقی,خیابان خرمشهر، تقاطع شیلات )به طرف م پروین اعتصامی) - ضلع شمال شرقی,billboardiha
3539,بیلبورد م ولیعصر,زنجان,م ولیعصر (ضلع شمالی),م ولیعصر (ضلع شمالی),billboardiha
3538,بیلبورد م ولیعصر,زنجان,م ولیعصر (ضلع شمالی) ورودی میدان - روبه جنوب,م ولیعصر (ضلع شمالی) ورودی میدان - روبه جنوب,billboardiha
3537,بیلبورد م ولیعصر,زنجان,م ولیعصر(ضلع جنوبی),م ولیعصر(ضلع جنوبی),billboardiha
3536,بیلبورد م ولیعصر,زنجان,م ولیعصر(ضلع جنوبی) ورودی میدان - روبه شمال,م ولیعصر(ضلع جنوبی) ورودی میدان - روبه شمال,billboardiha
3523,بیلبورد میدان آزادی,زنجان,میدان آزادی - ضلع شمالی,میدان آزادی - ضلع شمالی,billboardiha
22,بیلبورد ورودی اتوبان زنجان-تهران,زنجان,ورودی شهر,ورودی اتوبان زنجان-تهران، کیلومتر ۱,
